,Frequency,Product,Date,AvgPairwiseCorr
159,30T,FYG,2021-04-06,0.10261818644494262
160,30T,FYG,2021-04-07,0.03354601709672212
161,30T,FYG,2021-04-08,-0.14980919596997944
162,30T,FYG,2021-04-09,0.4159817345947692
163,30T,FYG,2021-04-11,-0.2360905527053531
164,30T,FYG,2021-04-12,-0.033955922328225106
165,30T,FYG,2021-04-13,-0.18553662650759886
166,30T,FYG,2021-04-14,-0.009487922944031385
167,30T,FYG,2021-04-15,-0.15075515905875309
168,1H,TYG,2021-03-15,-0.013529633906258994
169,1H,TYG,2021-03-16,0.14481440184479966
170,1H,TYG,2021-03-17,-0.0918073240613947
171,1H,TYG,2021-03-18,-0.08032594452139762
172,1H,TYG,2021-03-19,-0.10952817988454434
173,1H,TYG,2021-03-21,-0.0011640152533924444
174,1H,TYG,2021-03-22,-0.013485890062804382
175,1H,TYG,2021-03-23,0.40186011760085755
176,1H,TYG,2021-03-24,0.010428251432418687
177,1H,TYG,2021-03-25,-0.05989575877743915
178,1H,TYG,2021-03-26,-0.04001665862368087
179,1H,TYG,2021-03-28,0.0018339016814608589
180,1H,TYG,2021-03-29,-0.0007915771801484553
181,1H,TYG,2021-03-30,-0.08352012630573975
182,1H,TYG,2021-03-31,-0.07723500861071393
183,1H,TYG,2021-04-01,0.050826196676981544
184,1H,TYG,2021-04-02,0.02042656439732498
185,1H,TYG,2021-04-04,0.2834483970426048
186,1H,TYG,2021-04-05,-0.11003719196301429
187,1H,TYG,2021-04-06,0.18317022320046025
188,1H,TYG,2021-04-07,-0.061550472753573046
189,1H,TYG,2021-04-08,-0.07169275330389084
190,1H,TYG,2021-04-09,0.0564731107030639
191,1H,TYG,2021-04-11,-0.11761666279731277
192,1H,TYG,2021-04-12,0.10459259251491553
193,1H,TYG,2021-04-13,-0.02885515777064827
194,1H,TYG,2021-04-14,-0.11591813063893565
195,1H,TYG,2021-04-15,0.13444718036471565
196,1H,STF,2021-03-15,-0.1156788894195289
197,1H,STF,2021-03-16,-0.0194415692769126
198,1H,STF,2021-03-17,-0.08411501476152536
199,1H,STF,2021-03-18,-0.1382338232144376
200,1H,STF,2021-03-19,0.22113940648119404
201,1H,STF,2021-03-21,0.13981823733959176
202,1H,STF,2021-03-22,-0.11087900845153226
203,1H,STF,2021-03-23,-0.013537721387376031
204,1H,STF,2021-03-24,0.14994290788868017
205,1H,STF,2021-03-25,0.21166406890263761
206,1H,STF,2021-03-26,-0.07448749048799522
207,1H,STF,2021-03-28,-0.059686375623388514
208,1H,STF,2021-03-29,0.11977474819074488
209,1H,STF,2021-03-30,0.4557754894842752
210,1H,STF,2021-03-31,-0.15121822196194368
211,1H,STF,2021-04-01,-0.12961878551298586
212,1H,STF,2021-04-02,0.19900583605585362
213,1H,STF,2021-04-04,-0.08741918732579759
214,1H,STF,2021-04-05,0.006630630859831977
215,1H,STF,2021-04-06,-0.09244598059093453
216,1H,STF,2021-04-07,0.37386590829744165
217,1H,STF,2021-04-08,0.03535395296458491
218,1H,STF,2021-04-09,-0.10078010468115782
219,1H,STF,2021-04-11,0.006064803306732932
220,1H,STF,2021-04-12,-0.042821474151411194
221,1H,STF,2021-04-13,0.005821220212239292
222,1H,STF,2021-04-14,0.16967622094970672
223,1H,STF,2021-04-15,0.08066625126279701
224,1H,FYG,2021-03-15,-0.15926760435159934
225,1H,FYG,2021-03-16,0.01517665319797401
226,1H,FYG,2021-03-17,0.6465389531553009
227,1H,FYG,2021-03-18,-0.1584920265335708
228,1H,FYG,2021-03-19,0.09767539368871347
229,1H,FYG,2021-03-21,-0.06318885326890143
230,1H,FYG,2021-03-22,0.6053917228143528
231,1H,FYG,2021-03-23,0.32382714037388177
232,1H,FYG,2021-03-24,0.9262486433455352
233,1H,FYG,2021-03-25,-0.05007438874667521
234,1H,FYG,2021-03-26,0.2571728904260405
235,1H,FYG,2021-03-28,0.1537840628074503
236,1H,FYG,2021-03-29,-0.18093369403898268
237,1H,FYG,2021-03-30,0.051447794100530506
238,1H,FYG,2021-03-31,0.8285645256251417
239,1H,FYG,2021-04-01,-0.32525800601058114
240,1H,FYG,2021-04-02,-0.031225535637814904
241,1H,FYG,2021-04-04,-0.2058727933883889
242,1H,FYG,2021-04-05,-0.1815886401231662
243,1H,FYG,2021-04-06,0.06223870057728646
244,1H,FYG,2021-04-07,-0.04190993338841381
245,1H,FYG,2021-04-08,-0.17410983102244243
246,1H,FYG,2021-04-09,0.44154995341156117
247,1H,FYG,2021-04-11,-0.237339829177548
248,1H,FYG,2021-04-12,0.013634742825198443
249,1H,FYG,2021-04-13,-0.2738597685203214
250,1H,FYG,2021-04-14,0.04920692624000359
251,1H,FYG,2021-04-15,-0.15931463554430986
252,2H,TYG,2021-03-15,0.006465256221968791
253,2H,TYG,2021-03-16,0.20430221435083723
254,2H,TYG,2021-03-17,-0.10905167177360899
255,2H,TYG,2021-03-18,-0.08931919242222075
256,2H,TYG,2021-03-19,-0.10148669840664451
257,2H,TYG,2021-03-21,0.015315250871187453
258,2H,TYG,2021-03-22,-0.049669743138927386
259,2H,TYG,2021-03-23,0.33155727514987204
260,2H,TYG,2021-03-24,0.014857142414224327
261,2H,TYG,2021-03-25,-0.06025225171464282
262,2H,TYG,2021-03-26,-0.058175924435317765
263,2H,TYG,2021-03-28,-0.03374636247039583
264,2H,TYG,2021-03-29,-0.00022244229402855278
265,2H,TYG,2021-03-30,-0.0899460254043299
266,2H,TYG,2021-03-31,-0.029274238690072035
267,2H,TYG,2021-04-01,0.05803238927892906
268,2H,TYG,2021-04-02,0.0023532561340909863
269,2H,TYG,2021-04-04,0.3014723085120656
270,2H,TYG,2021-04-05,-0.1272228831982023
271,2H,TYG,2021-04-06,0.18314799405151935
272,2H,TYG,2021-04-07,-0.04646761250008239
273,2H,TYG,2021-04-08,-0.11236740990608078
274,2H,TYG,2021-04-09,0.059490598167876864
275,2H,TYG,2021-04-11,-0.10516763064760411
276,2H,TYG,2021-04-12,0.13042053977562001
277,2H,TYG,2021-04-13,-0.05600623988927955
278,2H,TYG,2021-04-14,-0.11338334393093884
279,2H,TYG,2021-04-15,0.16099488741922893
280,2H,STF,2021-03-15,-0.11212404781274295
281,2H,STF,2021-03-16,-0.018231904510266454
282,2H,STF,2021-03-17,-0.0979524791365763
283,2H,STF,2021-03-18,-0.13308636316620143
284,2H,STF,2021-03-19,0.20982061217182008
285,2H,STF,2021-03-21,0.13858879841424523
286,2H,STF,2021-03-22,-0.11958414761177304
287,2H,STF,2021-03-23,-0.0307683523353932
288,2H,STF,2021-03-24,0.16066189738217307
289,2H,STF,2021-03-25,0.24087501166213576
290,2H,STF,2021-03-26,-0.0783191237730651
291,2H,STF,2021-03-28,-0.04828258854283759
292,2H,STF,2021-03-29,0.12183147290427462
293,2H,STF,2021-03-30,0.5207959466761686
294,2H,STF,2021-03-31,-0.16864440518407994
295,2H,STF,2021-04-01,-0.13252512088119694
296,2H,STF,2021-04-02,0.15999024547173987
297,2H,STF,2021-04-04,-0.13121151370791054
298,2H,STF,2021-04-05,0.03025176840582128
299,2H,STF,2021-04-06,-0.08361576960520034
300,2H,STF,2021-04-07,0.37484335082056724
301,2H,STF,2021-04-08,0.004343581549211876
302,2H,STF,2021-04-09,-0.08795437272095778
303,2H,STF,2021-04-11,0.04832470156908819
304,2H,STF,2021-04-12,-0.06036538195869401
305,2H,STF,2021-04-13,0.040930385554023826
306,2H,STF,2021-04-14,0.16979980083301432
307,2H,STF,2021-04-15,0.1018744409405383
308,2H,FYG,2021-03-15,-0.15629755003789556
309,2H,FYG,2021-03-16,0.0658844863330795
310,2H,FYG,2021-03-17,0.9224186138038167
311,2H,FYG,2021-03-18,-0.11950598412972897
312,2H,FYG,2021-03-19,0.13730328514124315
313,2H,FYG,2021-03-21,-0.040682474441189755
314,2H,FYG,2021-03-22,0.7529147505095711
315,2H,FYG,2021-03-23,-0.054114540032622366
316,2H,FYG,2021-03-24,0.918578657643251
317,2H,FYG,2021-03-25,
318,2H,FYG,2021-03-26,0.3207196462813629
319,2H,FYG,2021-03-28,-0.03342433830364966
320,2H,FYG,2021-03-29,-0.20177395410215498
321,2H,FYG,2021-03-30,0.015086791894780016
322,2H,FYG,2021-03-31,0.9368817076456306
323,2H,FYG,2021-04-01,-0.3203262789993814
324,2H,FYG,2021-04-02,0.023092870590396396
325,2H,FYG,2021-04-04,-0.3205842674821233
326,2H,FYG,2021-04-05,-0.16885324848610525
327,2H,FYG,2021-04-06,0.0946077273311963
328,2H,FYG,2021-04-07,-0.07826833651652003
329,2H,FYG,2021-04-08,-0.1859360993748756
330,2H,FYG,2021-04-09,0.07518314814628556
331,2H,FYG,2021-04-11,-0.14952438141969693
332,2H,FYG,2021-04-12,-0.0059381411968343675
333,2H,FYG,2021-04-13,-0.31948078941002206
334,2H,FYG,2021-04-14,-0.12082982560022036
335,2H,FYG,2021-04-15,-0.21727145943487064
